Date	Time	Severity	PID	TID	Function	Message
09-06-2026	15:53:50.129	 INFO	 37780	 46852	DllMain	"DLL_PROCESS_ATTACH Thu Jan  2 23:38:14 2025 11.3.2440.11"
09-06-2026	15:53:50.132	 INFO	 37780	 52780	LateInitialization	"Intialization..."
09-06-2026	15:53:50.133	 INFO	 37780	 52780	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\head.exe"
09-06-2026	15:53:50.135	 INFO	 37780	 52780	LateInitialization	"IsExplorer = 0"
09-06-2026	15:53:50.136	 INFO	 37780	 52780	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
09-06-2026	15:53:50.138	 INFO	 37780	 52780	LateInitialization	"Intialization finished"
09-06-2026	15:53:51.233	 INFO	 40940	 52264	DllMain	"DLL_PROCESS_ATTACH Thu Jan  2 23:38:14 2025 11.3.2440.11"
09-06-2026	15:53:51.235	 INFO	 40940	 29368	LateInitialization	"Intialization..."
09-06-2026	15:53:51.236	 INFO	 40940	 29368	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe"
09-06-2026	15:53:51.238	 INFO	 40940	 29368	LateInitialization	"IsExplorer = 0"
09-06-2026	15:53:51.239	 INFO	 40940	 29368	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
09-06-2026	15:53:51.241	 INFO	 40940	 29368	LateInitialization	"Intialization finished"
09-06-2026	15:54:05.452	 INFO	 46772	 52884	DllMain	"DLL_PROCESS_ATTACH Thu Jan  2 23:38:14 2025 11.3.2440.11"
09-06-2026	15:54:05.457	 INFO	 46772	 43024	LateInitialization	"Intialization..."
09-06-2026	15:54:05.459	 INFO	 46772	 43024	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe"
09-06-2026	15:54:05.460	 INFO	 46772	 43024	LateInitialization	"IsExplorer = 0"
09-06-2026	15:54:05.462	 INFO	 46772	 43024	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
09-06-2026	15:54:05.463	 INFO	 46772	 43024	LateInitialization	"Intialization finished"
